anime_id,mean_rating,count
1,8.776724137931035,2320
5,8.34965034965035,1001
6,8.207658321060382,1358
20,7.813849394418114,3798
30,8.271403197158081,2815
32,8.422160664819945,1805
33,8.460606060606061,1155
43,8.21521456436931,1538
47,7.908129175946548,1796
59,7.583557951482479,1484
71,7.7618083670715246,1482
72,8.248055315471046,1157
101,7.4692737430167595,1074
120,7.9202407825432655,1329
121,8.300603217158177,2984
164,8.681242807825086,2607
199,8.76313704779509,3787
205,8.499514091350827,2058
223,7.946694003075346,1951
225,6.528703047484054,1411
226,7.661654135338346,3458
227,7.958246346555324,1916
232,8.235063663075417,1021
245,8.766623207301173,1534
249,7.829290206648698,1113
268,8.004940711462451,1012
269,7.867251782775645,1823
270,7.523386619301362,1689
317,7.8469026548672565,1130
339,7.997418244406196,1162
355,7.740993788819876,1610
356,7.486173059768064,2242
430,7.739807264640475,1349
431,8.56657018813314,2764
437,8.295967741935485,1240
457,8.813856427378965,1198
512,8.206281227694504,1401
513,8.263846153846155,1300
523,8.264159292035398,2260
527,7.248290013679891,1462
528,7.498109640831758,1058
552,7.760372565622354,1181
572,8.338461538461539,1105
578,8.48165137614679,1526
777,8.519656897784131,1399
790,8.106481481481481,1080
813,8.041205139565795,2257
849,8.05521472392638,2771
853,8.361657597321054,2389
857,7.5213505461767625,1007
889,8.111397627643115,1939
918,9.076237623762376,1010
934,8.215593929879644,1911
1195,7.539504441327723,2139
1210,8.45,1740
1482,8.285714285714286,1099
1519,8.243823146944083,1538
1530,8.23069306930693,1010
1535,8.717718268525312,5452
1575,8.77828709288299,4145
1686,7.535564853556485,1195
1689,7.862246923382295,2519
1691,7.357575757575757,1155
1735,8.127709431751612,1707
1818,7.956356736242884,1581
1840,7.600355239786857,1689
1887,7.968823529411765,1700
1889,8.376373626373626,1456
1943,8.048780487804878,1230
2001,8.803035778821828,2767
2025,8.256782945736434,2064
2034,8.2279792746114,1351
2167,8.265595463137997,3174
2236,8.32738354375272,2297
2251,8.549665178571429,1792
2476,5.962569549822964,1977
2593,7.703787878787879,1320
2759,8.093979441997064,1362
2787,7.819095477386934,1194
2890,7.853355426677713,1207
2904,8.949972512369433,3638
2966,8.269782262347318,1883
2993,6.9885595423816955,1923
3455,7.308659217877095,1432
3457,7.26857490864799,1642
3470,7.732580037664784,1062
3588,8.040590405904059,2439
3712,7.465968586387435,1528
3782,7.845798707294552,1083
3783,8.106090373280942,1018
3784,8.416861826697891,1281
4059,8.035714285714286,1512
4063,7.326278659611993,1134
4081,8.390084190832553,1069
4181,9.063069631790011,2743
4214,7.070464767616192,1334
4224,8.398253698763037,4123
4382,7.189772727272727,1760
4654,7.656160458452722,1745
4752,7.4566067240031275,1279
4898,7.801033591731266,1935
4975,6.537912578055308,1121
5081,8.39631650750341,2932
5114,9.25376762275158,4114
5341,8.433356594556873,1433
5630,8.014093529788598,1561
5680,7.8983658828218415,2509
5681,8.177764202810017,1637
5958,7.5251572327044025,1272
6045,8.178074245939674,1724
6213,7.762992125984252,1270
6347,7.743768115942029,1725
