"anime_id","avg_rating","num_votes"
1,8.77672413793104,2320
5,8.34965034965035,1001
6,8.20765832106038,1358
20,7.81384939441812,3798
30,8.27140319715808,2815
32,8.42216066481994,1805
33,8.46060606060606,1155
43,8.21521456436931,1538
47,7.90812917594655,1796
59,7.58355795148248,1484
71,7.76180836707153,1482
72,8.24805531547105,1157
101,7.46927374301676,1074
120,7.92024078254327,1329
121,8.30060321715818,2984
164,8.68124280782509,2607
199,8.76313704779509,3787
205,8.49951409135083,2058
223,7.94669400307535,1951
225,6.52870304748405,1411
226,7.66165413533835,3458
227,7.95824634655532,1916
232,8.23506366307542,1021
245,8.76662320730117,1534
249,7.8292902066487,1113
268,8.00494071146245,1012
269,7.86725178277564,1823
270,7.52338661930136,1689
317,7.84690265486726,1130
339,7.9974182444062,1162
355,7.74099378881987,1610
356,7.48617305976807,2242
430,7.73980726464047,1349
431,8.56657018813314,2764
437,8.29596774193548,1240
457,8.81385642737897,1198
512,8.2062812276945,1401
513,8.26384615384615,1300
523,8.2641592920354,2260
527,7.24829001367989,1462
528,7.49810964083176,1058
552,7.76037256562235,1181
572,8.33846153846154,1105
578,8.48165137614679,1526
777,8.51965689778413,1399
790,8.10648148148148,1080
813,8.0412051395658,2257
849,8.05521472392638,2771
853,8.36165759732105,2389
857,7.52135054617676,1007
889,8.11139762764311,1939
918,9.07623762376238,1010
934,8.21559392987964,1911
1195,7.53950444132772,2139
1210,8.45,1740
1482,8.28571428571429,1099
1519,8.24382314694408,1538
1530,8.23069306930693,1010
1535,8.71771826852531,5452
1575,8.77828709288299,4145
1686,7.53556485355648,1195
1689,7.8622469233823,2519
1691,7.35757575757576,1155
1735,8.12770943175161,1707
1818,7.95635673624288,1581
1840,7.60035523978686,1689
1887,7.96882352941176,1700
1889,8.37637362637363,1456
1943,8.04878048780488,1230
2001,8.80303577882183,2767
2025,8.25678294573643,2064
2034,8.2279792746114,1351
2167,8.265595463138,3174
2236,8.32738354375272,2297
2251,8.54966517857143,1792
2476,5.96256954982296,1977
2593,7.70378787878788,1320
2759,8.09397944199706,1362
2787,7.81909547738693,1194
2890,7.85335542667771,1207
