anime_id,mean_rating,count,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
2476,5.962569549822964,1977,School Days,5.68,"Harem, Drama, Romance, School",School Days,スクールデイズ,TV,12,"Jul 4, 2007 to Sep 27, 2007",Summer 2007,"Avex Entertainment, Marvelous, Lantis, Pony Canyon",Discotek Media,TNK,Visual novel,25 min. per ep.,R+ - Mild Nudity,9203.0,225,522307,3042,12905,387527,7572,23861,90442,20797.0,21477.0,37155.0,51711.0,48543.0,37242.0,33122.0,21845.0,22344.0,25046.0
25397,6.345581802274715,1143,Absolute Duo,6.51,"Action, Harem, Supernatural, Romance, Ecchi, School",Absolute Duo,アブソリュート・デュオ,TV,12,"Jan 4, 2015 to Mar 22, 2015",Winter 2015,"Half H.P Studio, AT-X, feng, Showgate",Funimation,8bit,Light novel,24 min. per ep.,R - 17+ (violence & profanity),5821.0,312,425840,1478,18250,320572,8840,21520,56658,12874.0,17166.0,37309.0,64101.0,51389.0,31454.0,15748.0,7619.0,4665.0,2504.0
8861,6.410194174757281,1236,"Yosuga no Sora: In Solitude, Where We Are Least Alone.",6.26,"Drama, Ecchi, Harem, Romance",Yosuga no Sora,"ヨスガノソラ In solitude, where we are least alone.",TV,12,"Oct 4, 2010 to Dec 20, 2010",Fall 2010,"Starchild Records, Studio Mausu, GANSIS, PRA",Media Blasters,feel.,Visual novel,25 min. per ep.,R+ - Mild Nudity,7096.0,369,359136,1887,14546,241158,7510,18154,77768,13893.0,13380.0,26208.0,41217.0,36738.0,24027.0,15675.0,8704.0,6690.0,7191.0
20021,6.437686939182453,1003,Sword Art Online: Extra Edition,6.61,"Action, Adventure, Fantasy, Game, Romance",Sword Art Online:Extra Edition,ソードアート・オンライン Extra Edition,Special,1,"Dec 31, 2013",Unknown,Aniplex,Aniplex of America,A-1 Pictures,Light novel,1 hr. 41 min.,PG-13 - Teens 13 or older,5318.0,596,245197,665,3318,213309,1190,1493,25887,13186.0,12481.0,22681.0,36575.0,28063.0,16566.0,8489.0,4763.0,3320.0,3324.0
9515,6.508612873980055,1103,Highschool of the Dead: Drifters of the Dead,6.64,"Comedy, Ecchi, Supernatural",Unknown,学園黙示録 HIGHSCHOOL OF THE DEAD ドリフターズ・オブ・ザ・デッド,OVA,1,"Apr 26, 2011",Unknown,Showgate,Sentai Filmworks,Madhouse,Manga,16 min.,R+ - Mild Nudity,5175.0,599,242026,373,2579,216089,816,783,21759,13699.0,13679.0,23045.0,36145.0,29164.0,17301.0,8891.0,4767.0,3270.0,2527.0
